program,nloc,tests,nm,neq,paper
printtokens,343,4130,11741,1551,siami2008sufficient
printtokens,355,4115,10266,1942,siami2008sufficient
replace,513,5542,23847,1969,siami2008sufficient
schedule,296,2650,4130,1760,siami2008sufficient
schedule2,263,2710,6552,1497,siami2008sufficient
tcas,137,1608,4935,4935,siami2008sufficient
totinfo,281,1052,8767,1740,siami2008sufficient
printtokens,343,4130,11741,9326,zhang2010isoperator
printtokens,355,4115,10266,8664,zhang2010isoperator
replace,513,5542,23847,19861,zhang2010isoperator
schedule,296,2650,4130,3670,zhang2010isoperator
schedule2,263,2710,6552,4832,zhang2010isoperator
tcas,137,1608,4935,4069,zhang2010isoperator
totinfo,281,1052,8767,7876,zhang2010isoperator
timemoney,2681,236,2304,1667,zhang2013operator
jdepend,2721,55,1173,798,zhang2013operator
jtopas,2901,128,1921,1103,zhang2013operator
barbecue,5391,154,36418,1002,zhang2013operator
mime4J,6954,120,19111,4414,zhang2013operator
jaxen,13946,690,9880,4616,zhang2013operator
xstream,18369,1200,18046,10022,zhang2013operator
xmlsecurity,19796,83,9693,2560,zhang2013operator
commonslang,23355,1691,19746,12970,zhang2013operator
jodatime,32892,3818,24174,16063,zhang2013operator
jmeter,36910,60,21896,2024,zhang2013operator
timeandmoney2,1059,104,1050,761,zhang2014empirical
timeandmoney3,1403,146,1413,1124,zhang2014empirical
barbecue1.5,4689,51,16318,563,zhang2014empirical
jgrapht0.5.0,2393,48,1122,692,zhang2014empirical
jgrapht0.5.1,3248,63,1644,1039,zhang2014empirical
jgrapht0.5.2,3609,57,1666,1051,zhang2014empirical
jgrapht0.5.3,3670,57,1663,1032,zhang2014empirical
jgrapht0.6.0,4098,68,2095,1344,zhang2014empirical
jgrapht0.7.1,8829,84,3610,2360,zhang2014empirical
jgrapht0.7.3,10141,102,4576,2942,zhang2014empirical
xmlsecurity1.2.1,16218,97,8404,2687,zhang2014empirical
xmlsecurity1.3.0,15158,95,7899,273,zhang2014empirical
